time,open,high,low,close,tick_volume,spread,real_volume
2012-09-11,1.27607,1.28705,1.27585,1.28553,66961,5,0
2012-09-12,1.2855400000000001,1.29358,1.28148,1.2903,72855,5,0
2012-09-13,1.29027,1.30008,1.28564,1.29945,73409,7,0
2012-09-14,1.29947,1.31676,1.29839,1.3128600000000001,77503,6,0
2012-09-16,1.31239,1.31249,1.3109600000000001,1.3115299999999999,1693,6,0
2012-09-17,1.3115299999999999,1.3170600000000001,1.30831,1.31135,68183,5,0
2012-09-18,1.31137,1.3114,1.30288,1.30423,71101,5,0
2012-09-19,1.30422,1.30844,1.29929,1.3047900000000001,72315,5,0
2012-09-20,1.30481,1.30584,1.2920099999999999,1.29699,77251,5,0
2012-09-21,1.29697,1.30471,1.29553,1.29788,71363,5,0
2012-09-23,1.29789,1.29798,1.29653,1.29733,1367,4,0
2012-09-24,1.29734,1.29792,1.28905,1.29307,61142,5,0
2012-09-25,1.29307,1.297,1.28863,1.2899,69705,5,0
2012-09-26,1.28991,1.29122,1.28349,1.2873700000000001,66889,5,0
2012-09-27,1.28736,1.29272,1.28293,1.29098,69758,5,0
2012-09-28,1.291,1.2959100000000001,1.28382,1.28595,68499,6,0
2012-09-30,1.28488,1.28495,1.28315,1.28334,1486,10,0
2012-10-01,1.28332,1.29382,1.28031,1.28898,63904,8,0
2012-10-02,1.28899,1.29669,1.28797,1.29178,59210,7,0
2012-10-03,1.29177,1.29362,1.28769,1.29192,60787,5,0
2012-10-04,1.29193,1.3031,1.29095,1.302,65042,5,0
